feature1,feature2,target
-4.3679,-7.3679,0.0000
-9.1810,-8.3992,0.0000
-6.0649,-11.1464,0.0000
-4.0985,-7.7021,0.0000
-7.2866,-6.5576,0.0000
-4.7306,-10.6066,0.0000
-8.7209,-6.8588,0.0000
-5.4648,-8.4594,0.0000
-8.3856,-7.9630,0.0000
-7.9056,-4.6968,0.0000
-10.4611,-3.4403,0.0000
-5.9840,-4.8764,0.0000
-5.9856,-7.5289,0.0000
-8.2748,-8.0924,0.0000
-8.5990,-4.8141,0.0000
-9.5466,-6.8872,0.0000
-9.5366,-7.8899,0.0000
-9.5010,-6.0283,0.0000
-10.4984,-5.4758,0.0000
-4.2886,-4.3407,0.0000
-8.4290,-7.9848,0.0000
-9.6707,-2.2156,0.0000
-7.8864,-7.4244,0.0000
-7.5731,-1.3037,0.0000
-7.7313,-4.6199,0.0000
-7.3288,-6.7877,0.0000
-10.5547,-6.7812,0.0000
-8.4671,-4.6883,0.0000
-6.1240,-3.9180,0.0000
-7.3614,-4.0208,0.0000
-9.6869,-3.1985,0.0000
-6.8531,-6.6666,0.0000
-6.9076,-6.1690,0.0000
-5.4696,-2.6016,0.0000
-3.1129,-9.1227,0.0000
-11.2291,-7.1280,0.0000
-7.6421,-4.0408,0.0000
-7.2942,-10.5218,0.0000
-8.6847,-4.1486,0.0000
-7.4855,-4.2961,0.0000
-8.4971,-6.4489,0.0000
-7.5828,-5.0831,0.0000
-7.5566,-5.7339,0.0000
-9.4996,-5.1557,0.0000
-7.7276,-3.4744,0.0000
-5.3191,-5.5860,0.0000
-8.8392,-7.4282,0.0000
-7.0530,-5.8271,0.0000
-8.7689,-5.9025,0.0000
-9.3864,-4.4392,0.0000
-8.9998,-3.2619,0.0000
-7.0978,-4.6727,0.0000
-10.4483,-5.6212,0.0000
-6.3441,-8.1325,0.0000
-8.5953,-5.9271,0.0000
-11.0704,-5.2953,0.0000
-6.1079,-7.9219,0.0000
-7.2162,-8.9344,0.0000
-8.0865,-9.6130,0.0000
-5.4924,-5.0857,0.0000
-8.0550,-7.7333,0.0000
-5.1518,-1.6014,0.0000
-12.1546,-3.2359,0.0000
-4.3605,-5.2442,0.0000
-10.6816,-4.0695,0.0000
-8.4046,-7.3504,0.0000
-10.7505,-4.7690,0.0000
-6.2272,-7.3943,0.0000
-6.8360,-8.5588,0.0000
-6.2070,-5.8959,0.0000
-8.4172,-6.2275,0.0000
-6.0571,-4.3220,0.0000
-6.8161,-5.6921,0.0000
-7.8260,-4.6173,0.0000
-7.4801,-4.4738,0.0000
-8.6934,-11.4445,0.0000
-5.6771,-1.1098,0.0000
-7.0131,-6.2240,0.0000
-8.3051,-6.2662,0.0000
-7.9611,-8.5089,0.0000
-9.1563,-8.2294,0.0000
-7.4437,-6.6633,0.0000
-6.8927,-6.3906,0.0000
-5.7945,-5.5225,0.0000
-3.1014,-10.2404,0.0000
-9.4465,-3.9842,0.0000
-2.3465,-6.5560,0.0000
-7.9024,-6.5061,0.0000
-5.0228,-6.6424,0.0000
-6.4793,-6.7151,0.0000
-10.8455,-5.2989,0.0000
-6.8748,-3.1083,0.0000
-8.2470,-7.3805,0.0000
-6.7416,-5.4617,0.0000
-7.3724,-6.1635,0.0000
-5.4054,-5.1738,0.0000
-3.7411,-3.5156,0.0000
-6.5263,-9.6391,0.0000
-6.6532,-5.0602,0.0000
-6.1867,-3.6646,0.0000
-8.8964,-4.1575,0.0000
-9.2574,-1.6288,0.0000
-10.9783,-9.9370,0.0000
-11.6911,-7.9913,0.0000
